	Type	Categories/Median	Counts/Mean	%/SD	Number_non-zeros(n)	Number_NA
MedicationBiologicals	categorical	no, yes	96, 0	100, 0	96	5
MedicationAntibiotics	categorical	no, yes	94, 2	97.92, 2.08	96	5
MedicationAntidiarrhoea	categorical	no, yes	66, 30	68.75, 31.25	96	5
MedicationVitamins	categorical	no, yes	42, 54	43.75, 56.25	96	5
MedicationMinerals	categorical	no, yes	93, 3	96.88, 3.12	96	5
MedicationVitaminsAndMinerals	categorical	no, yes	77, 19	80.21, 19.79	96	5
MedicationIron	categorical	no, yes	93, 3	96.88, 3.12	96	5
MedicationPPI	categorical	no, yes	64, 32	66.67, 33.33	96	5
MedicationAgainstOsteoporosis	categorical	no, yes	93, 3	96.88, 3.12	96	5
MedicationBileAcids	categorical	no, yes	96, 0	100, 0	96	5
Appendectomy	categorical	no, yes	55, 46	54.46, 45.54	101	0
AppendectomyDueAppendicitis	categorical	no, yes	101, 0	100, 0	101	0
Dysplasia	categorical	no, yes	99, 2	98.02, 1.98	101	0
EIMOrAnyComplications	categorical	no, yes	64, 37	63.37, 36.63	101	0
EIMAnyEyeComplications	categorical	no, yes	98, 3	97.03, 2.97	101	0
EIMEyeUveitis	categorical	no, yes	101, 0	100, 0	101	0
EIMEyeEpiscleritis	categorical	no, yes	100, 1	99.01, 0.99	101	0
EIMAnyMouthComplications	categorical	no, yes	99, 2	98.02, 1.98	101	0
EIMMouthAphte	categorical	no, yes	100, 1	99.01, 0.99	101	0
EIMMouthCrohnInAphteBiopsy	categorical	no, yes	100, 1	99.01, 0.99	101	0
EIMAnySkinComplications	categorical	no, yes	88, 13	87.13, 12.87	101	0
EIMSkinErythemaNodosum	categorical	no, yes	101, 0	100, 0	101	0
EIMSkinPyodermaGangrenosum	categorical	no, yes	101, 0	100, 0	101	0
EIMSkinHydradenitis	categorical	no, yes	100, 1	99.01, 0.99	101	0
EIMSkinHydradenitisAndAbces	categorical	no, yes	100, 1	99.01, 0.99	101	0
EIMSkinPsoriasis	categorical	no, yes	97, 4	96.04, 3.96	101	0
EIMSkinCancer	categorical	no, yes	101, 0	100, 0	101	0
EIMAnyJointComplications	categorical	no, yes	90, 11	89.11, 10.89	101	0
EIMJointArthralgia	categorical	no, yes	66, 35	65.35, 34.65	101	0
EIMJointEnthesitis	categorical	no, yes	95, 6	94.06, 5.94	101	0
EIMJointArthritis	categorical	no, yes	100, 1	99.01, 0.99	101	0
EIMJointArthritisTypeI	categorical	no, yes	100, 1	99.01, 0.99	101	0
EIMJointArthritisTypeII	categorical	no, yes	101, 0	100, 0	101	0
EIMJointDactylitis	categorical	no, yes	101, 0	100, 0	101	0
EIMJointAnkylosingSpondylitis	categorical	no, yes	100, 1	99.01, 0.99	101	0
EIMJointInflammatoryBackPain	categorical	no, yes	97, 4	96.04, 3.96	101	0
EIMJointSacroiliits	categorical	no, yes	100, 1	99.01, 0.99	101	0
ComplicationDeepVenousThrombosis	categorical	no, yes	100, 1	99.01, 0.99	101	0
OsteoporosisDiagnosis	categorical	no, Osteopenia, Osteoporosis	97, 2, 2	96.04, 1.98, 1.98	101	0
KidneyStones	categorical	no, yes	99, 2	98.02, 1.98	101	0
PrimarySclerosingCholangitis	categorical	no, yes	101, 0	100, 0	101	0
SmokeInhaleSmokeFromAdultsasChild	categorical	no, yes	24, 72	25, 75	96	5
SmokeExposedToSmokeForMoreThanOneHour	categorical	Daily, MoreThanOncePerWeek, OncePerWeek, RarelyOrNever	35, 5, 5, 54	35.35, 5.05, 5.05, 54.55	99	2
SmokeAreYouAFormerSmoker	categorical	no, yes	29, 61	32.22, 67.78	90	11
SmokeDidYouSmokeCigarettes	categorical	no, yes	57, 44	56.44, 43.56	101	0
SmokeHowManyCigarettesDidYouSmoke	numerical	0	4.336633663	6.80922496	101	0
SmokeDidYouSmokeShag	categorical	no, yes	70, 31	69.31, 30.69	101	0
SmokeHowManyShagDidYouSmoke	numerical	0	2.702970297	5.545348599	101	0
SmokeDidYouSmokeCigars	categorical	no, yes	96, 5	95.05, 4.95	101	0
SmokeHowManyCigarsDidYouSmoke	numerical	0	0.207920792	1.051825382	101	0
SmokeDidYouSmokePipe	categorical	no, yes	97, 4	96.04, 3.96	101	0
SmokeHowManyPipeDidYouSmoke	numerical	0	0.059405941	0.341226675	101	0
SmokeDidYouInhaleInYourLungs	categorical	no, yes	47, 54	46.53, 53.47	101	0
ResectionAny	categorical	no, yes	0, 101	0, 100	101	0
NumberOfResectionsAny	numerical	2	2.356435644	1.628398959	101	0
ResectionIlealCecalAny	categorical	no, yes	5, 96	4.95, 95.05	101	0
NumberOfResetionsIleoCecal	numerical	1	1.27	0.789514619	100	1
IleocecalValveInSitu	categorical	no, yes	101, 0	100, 0	101	0
ResectionIlealAny	categorical	no, yes	77, 22	77.78, 22.22	99	2
NumberOfResectionsIleal	numerical	0	0.223404255	0.531871424	94	7
ResectionColonicAny	categorical	no, yes	78, 22	78, 22	100	1
NumberOfResectionColonic	numerical	0	0.24	0.473968844	100	1
Fistulotomy	categorical	no, yes	88, 12	88, 12	100	1
NumberofFistulotomy	numerical	0	0.15	0.43519414	100	1
IndicationabcessOrfistula	categorical	no, yes	63, 37	63, 37	100	1
NumberIndicationabcessOrfistula	categorical	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, NA 	63, 18, 9, 5, 2, 2, 1, 0, 0, 0, 1	62.38, 17.82, 8.91, 4.95, 1.98, 1.98, 0.99, 0, 0, 0, 0.99	101	0
DrainageAbcesSeton	categorical	no, yes	74, 26	74, 26	100	1
NumberOfDrainageAbcesSeton	numerical	0	0.41	0.829932454	100	1
NutritionOraloralParoral	categorical	enteral, oral	2, 99	1.98, 98.02	101	0
Diet	categorical	always, no, sometimes	13, 78, 6	13.4, 80.41, 6.19	97	4
Low_energy_diet	categorical	no, yes	95, 2	97.94, 2.06	97	4
low_fat_diet	categorical	no, yes	92, 5	94.85, 5.15	97	4
low_sodium_diet	categorical	no, yes	96, 1	98.97, 1.03	97	4
dm_diet	categorical	no, yes	96, 1	98.97, 1.03	97	4
high_cholestrol_diet	categorical	no, yes	96, 1	98.97, 1.03	97	4
high_fibre_diet	categorical	no, yes	96, 1	98.97, 1.03	97	4
other_diet	categorical	no, yes	84, 13	86.6, 13.4	97	4
way_of_living	categorical	0, always, no, sometimes	2, 4, 89, 2	2.06, 4.12, 91.75, 2.06	97	4
preparation_self	categorical	always, never, often, sometimes	32, 14, 27, 19	34.78, 15.22, 29.35, 20.65	92	9
vegatarian	categorical	no, yes	94, 3	96.91, 3.09	97	4
vegan	categorical	no, yes	97, 0	100, 0	97	4
macrobiotic	categorical	no, yes	97, 0	100, 0	97	4
antroposophic	categorical	no, yes	97, 0	100, 0	97	4
other_way_of_living	categorical	no, yes	85, 12	87.63, 12.37	97	4
often_breakfast	numerical	7	6.479166667	1.421483041	96	5
often_bread	numerical	7	6.427083333	1.237525474	96	5
often_hot_meal	numerical	7	6.854166667	0.383314263	96	5
how_often_alcohol	numerical	3	3.06185567	1.940867681	97	4
how_often_chocomilk_sweetened_milk_drinks	numerical	1	2.354166667	1.83520638	96	5
how_often_coffee	numerical	7	5.21875	2.538972544	96	5
how_often_fruits	numerical	6	5.364583333	1.753911668	96	5
how_often_milk_or_buttermilk	numerical	3	3.410526316	2.425462171	95	6
how_often_muesli.	numerical	1	2.333333333	2.008752777	96	5
how_often_nuts	numerical	2.5	2.645833333	1.486636378	96	5
how_often_pasta	numerical	4	3.3125	1.233842948	96	5
how_often_pulses	numerical	2	1.979166667	1.142289176	96	5
how_often_rice	numerical	3	3.041666667	1.421020143	96	5
how_often_soda	numerical	6	5.260416667	1.980137112	96	5
how_often_tea	numerical	7	5.40625	2.227002352	96	5
how_often_vegetables	numerical	6	5.8125	1.088818771	96	5
how_often_yoghurt_milk_based_puddings	numerical	5	4.34375	2.131607375	96	5
crackers	numerical	1.86	5.589484536	9.274964777	97	4
rolls	numerical	8.63	26.19659794	55.99837544	97	4
bread	numerical	94.21	100.6518557	64.0887004	97	4
cheese_20	numerical	0	4.715154639	9.84374824	97	4
cheese_40	numerical	0	10.77484536	29.52040312	97	4
cheese_48	numerical	0	4.760515464	12.13143243	97	4
cheese_other	numerical	0	1.04814433	3.877152448	97	4
meats_fat	numerical	0.72	4.740824742	7.035390843	97	4
meats_other	numerical	6.32	12.33247423	18.0395283	97	4
peanutbutter	numerical	0	2.934329897	7.717221395	97	4
sandwichspread	numerical	0	3.108556701	12.20069662	97	4
chocolatespreads	numerical	0.88	5.673814433	9.258290816	97	4
spreads_sweet	numerical	1.78	7.249793814	11.31904654	97	4
egg_cooked	numerical	7.15	9.087938144	10.12988318	97	4
egg_baked	numerical	3.6	4.284948454	4.545527592	97	4
breakfast_drink	numerical	0	3.311134021	17.45592735	97	4
cereals	numerical	0	4.287938144	9.179464506	97	4
milk_whole	numerical	0	1.149587629	7.655650544	97	4
milk_semiskimmed	numerical	0	44.57876289	81.50180962	97	4
milk_skimmed	numerical	0	4.45371134	30.26459759	97	4
buttermilk	numerical	0	10.99793814	39.00156412	97	4
chocolatemilk	numerical	0	7.548247423	22.07387469	97	4
yoghurt_drink_added_sugar	numerical	0	8.343092784	29.11256224	97	4
yoghurt_drink_other	numerical	0	6.501958763	24.19540425	97	4
custard_ff	numerical	0	7.978350515	18.8785001	97	4
yoghurt_ff	numerical	0	4.392680412	14.4336571	97	4
yoghurt_lf	numerical	0	8.428247423	24.41560336	97	4
yoghurt_lf_fruits	numerical	0	3.666494845	8.893086036	97	4
fromage_frais_fruits	numerical	0	6.204226804	14.16208001	97	4
porridge	numerical	0	2.952783505	9.007655395	97	4
other_custard_yoghurt_fromagefrais	numerical	13.35	27.27989691	37.82629821	97	4
icecream_dairy	numerical	3.38	5.563092784	10.59944047	97	4
whipped_cream	numerical	0	1.229484536	2.700819078	97	4
sugar_yoghurt	numerical	0	1.961958763	6.230894906	97	4
coffee	numerical	232.25	304.0520619	303.0781832	97	4
sugar_coffee	numerical	0	9.156804124	17.58439712	97	4
coffeecreamer_hf	numerical	0	7.592061856	15.58154176	97	4
coffeecreamer_p	numerical	0	1.121752577	3.997193549	97	4
coffeecreamer_ff	numerical	0	2.819896907	18.75239543	97	4
milk_coffee	numerical	0	3.574123711	16.56734607	97	4
other_milk_coffee	numerical	0	0	0	97	4
tea	numerical	232.25	282.6617526	275.4563004	97	4
sugar_tea	numerical	0	5.384639175	10.73765872	97	4
soup_legumes	numerical	0	6.143608247	14.09508382	97	4
soup	numerical	22.25	36.24896907	58.9387867	97	4
ready_meals_chinese_indian	numerical	0	8.690206186	14.17568972	97	4
meals_fast_food	numerical	0	6.139175258	11.45082745	97	4
ready_meals_other	numerical	0	14.69268041	27.22169576	97	4
pizza	numerical	12.94	12.66257732	15.58055106	97	4
pasta	numerical	12.73	18.03597938	19.78135695	97	4
rice	numerical	14.86	25.71123711	64.64982143	97	4
legumes	numerical	2.22	7.81	13.19159297	97	4
potato_cooked_mashed	numerical	49.82	66.53164948	78.07398877	97	4
potato_baked_fries	numerical	14.32	22.32082474	20.44600306	97	4
vegetables_cooked_nobutter	numerical	102.28	103.9379381	75.65811241	97	4
herring_salted	numerical	0	1.137938144	2.703636802	97	4
fish_white_fried	numerical	0	3.893298969	5.582699974	97	4
fish_lean	numerical	0	4.24371134	7.526749702	97	4
fish_fatty	numerical	0	3.162783505	6.418120951	97	4
fish_other	numerical	0	1.228969072	3.182475938	97	4
meat	numerical	10.02	10.66350515	7.344572123	97	4
sausage_smoked	numerical	0	2.888865979	3.826771615	97	4
beef_lean	numerical	0	4.362371134	5.920717294	97	4
beef_fat	numerical	3.3	4.975360825	5.968791241	97	4
pork_lean	numerical	1.27	4.712268041	5.712676421	97	4
pork_fat	numerical	0	3.869381443	5.413830825	97	4
pork_processed	numerical	5.36	5.054948454	4.813650322	97	4
chicken	numerical	9.64	12.49917526	12.23924729	97	4
other_meat_poultry	numerical	6.04	5.855670103	4.898627552	97	4
gravy	numerical	8.93	12.34206186	14.66978854	97	4
sauce_hot	numerical	4.6	7.922680412	9.73880891	97	4
mayonaise	numerical	0.72	1.686082474	2.548190762	97	4
non_red_sauces	numerical	0	1.252989691	2.117375127	97	4
saladdressing_f	numerical	0.71	1.669587629	3.323532545	97	4
saladdressing_w	numerical	0	0.275670103	0.614903291	97	4
nut_d	numerical	0	2.781443299	12.16770726	97	4
cheese_d	numerical	0.76	1.492886598	2.053537577	97	4
fruit	numerical	84.62	126.6534021	123.4875139	97	4
applesauce	numerical	0	5.607010309	9.775479332	97	4
biscuits_s	numerical	3.84	8.993814433	10.74626664	97	4
cake	numerical	3.82	8.777216495	14.5227237	97	4
pastry	numerical	3.45	5.686804124	5.526828609	97	4
spiced_cake	numerical	1.93	4.012474227	6.335417809	97	4
candybars	numerical	0	2.503298969	4.230950869	97	4
chocolate	numerical	1.86	4.389278351	6.990185567	97	4
sweets	numerical	1.97	5.548041237	9.140775136	97	4
snack_savoury_hot	numerical	5.39	7.568762887	9.761043666	97	4
mayonaise_snack	numerical	0	1.319278351	4.450137462	97	4
non_red_sauces_snack	numerical	0	0.61443299	1.736918349	97	4
snack_nut	numerical	2.08	5.990412371	11.19840092	97	4
crisps	numerical	3.15	7.147628866	10.97115677	97	4
snack_cheese	numerical	1.82	4.460618557	8.240484009	97	4
snack_meats	numerical	1.15	3.042061856	5.999159132	97	4
salad_toast	numerical	0	1.562371134	2.311784922	97	4
softdrink_sugar	numerical	52.13	171.7673196	263.4749633	97	4
softdrink_no_sugar	numerical	0	66.08103093	154.4111154	97	4
fruitjuice	numerical	42.9	116.8623711	228.7716534	97	4
beer	numerical	0	29.00618557	75.74482057	97	4
beer_af	numerical	0	1.178453608	7.101282945	97	4
wine_red	numerical	0	10.33731959	23.45182898	97	4
wine_white	numerical	0	4.445876289	12.49327275	97	4
wine_fort	numerical	0	1.01	4.546257618	97	4
spirits	numerical	0	1.983608247	6.023060405	97	4
other_alc_drinks	numerical	0	1.159793814	5.745039886	97	4
butter_b	numerical	4.59	14.40670103	34.49023194	97	4
margarine_lfb	numerical	0	9.844536082	16.89547807	97	4
butter_ob	numerical	0	0.951546392	3.373279914	97	4
vegetables_stirfried	numerical	0.64	1.083092784	1.256449496	97	4
fish_prepared_fat	numerical	0	0.226907216	0.382359345	97	4
vegetables_cooked_butter	numerical	0	0.965876289	1.997489963	97	4
group_alcohol	numerical	12.40912651	47.94228472	92.96485241	97	4
group_breads	numerical	130.8507123	132.4381858	93.39515132	97	4
group_cereals	numerical	0	4.287938144	9.179464506	97	4
group_cheese	numerical	19.18504646	27.25206563	31.71752201	97	4
group_coffee	numerical	232.25	304.0520619	303.0781832	97	4
group_dairy	numerical	142.7267963	169.6853956	145.8537681	97	4
group_eggs	numerical	8.9	13.37164948	11.62017576	97	4
group_fish	numerical	10.82494183	13.89191208	16.99499268	97	4
group_fruits	numerical	174.3817585	249.1214215	245.7305094	97	4
group_legumes	numerical	2.22	7.81	13.19159297	97	4
group_meat	numerical	86.4126193	87.33605123	45.20869539	97	4
group_nonalc_drinks	numerical	139.2437948	239.0270009	304.5827027	97	4
group_nuts	numerical	4.550207921	11.70453621	21.35751371	97	4
group_pasta	numerical	12.73	18.03597938	19.78135695	97	4
group_pastry	numerical	21.88752152	27.47301693	23.2496608	97	4
group_potatoes	numerical	71.30702763	88.85277564	81.75226909	97	4
group_prepared_meal	numerical	31.99921906	42.18524506	46.85044295	97	4
group_rice	numerical	14.86	25.71123711	64.64982143	97	4
group_sauces	numerical	11.69869854	14.74092384	12.4358754	97	4
group_savoury_snacks	numerical	14.59964803	19.38700713	20.54505267	97	4
group_soup	numerical	22.25	42.39175258	59.53036589	97	4
group_spreads	numerical	20.606	25.20252186	34.70631321	97	4
group_sugar_sweets	numerical	32.64718793	41.86764699	35.25003058	97	4
group_tea	numerical	232.25	282.6617526	275.4563004	97	4
group_vegetables	numerical	103.4541299	105.986237	77.28689472	97	4
SUMOFKCAL	numerical	1780	1960.505155	831.1346677	97	4
SUMOFKJ	numerical	7478	8224.701031	3482.030981	97	4
SUMOFEIWITTOT	numerical	63.9	66.53402062	25.44218481	97	4
SUMOFEIWITPLANT	numerical	26	29.2742268	13.44860029	97	4
SUMOFEIWITDIER	numerical	37.4	37.33917526	15.20634843	97	4
SUMOFVETTOT	numerical	69.9	77.96494845	41.17842032	97	4
SUMOFKHTOT	numerical	219.2	230.6525773	101.8008453	97	4
SUMOFALCOHOL	numerical	1.2	3.567010309	6.222283906	97	4
Prot_en	numerical	13.68291684	13.88401073	2.961317901	97	4
P_plant_en	numerical	5.878434638	5.995875856	1.364178107	97	4
P_animal_en	numerical	7.696289905	7.906145239	2.797556403	97	4
Fat_en	numerical	36.33891213	35.15859534	7.21965904	97	4
Carb_en	numerical	46.9005848	47.24165992	8.805231168	97	4
Alc_en	numerical	0.491803279	1.328323035	2.307104199	97	4
ACE_inhibitor	categorical	no, yes	97, 4	96.04, 3.96	101	0
alpha_blockers	categorical	no, yes	99, 2	98.02, 1.98	101	0
angII_receptor_antagonist	categorical	no, yes	98, 3	97.03, 2.97	101	0
anti_androgen_oral_contraceptive	categorical	no, yes	101, 0	100, 0	101	0
anti_epileptics	categorical	no, yes	101, 0	100, 0	101	0
anti_histamine	categorical	no, yes	100, 1	99.01, 0.99	101	0
antibiotics_merged	categorical	no, yes	98, 3	97.03, 2.97	101	0
benzodiazepine_derivatives_related	categorical	no, yes	93, 8	92.08, 7.92	101	0
beta_blockers	categorical	no, yes	92, 9	91.09, 8.91	101	0
beta_sympathomimetic_inhaler	categorical	no, yes	97, 4	96.04, 3.96	101	0
bisphosphonates	categorical	no, yes	98, 3	97.03, 2.97	101	0
ca_channel_blocker	categorical	no, yes	99, 2	98.02, 1.98	101	0
calcium	categorical	no, yes	76, 25	75.25, 24.75	101	0
ferrum	categorical	no, yes	97, 4	96.04, 3.96	101	0
folic_acid	categorical	no, yes	88, 13	87.13, 12.87	101	0
insulin	categorical	no, yes	100, 1	99.01, 0.99	101	0
IUD_that_includes_hormones	categorical	no, yes	101, 0	100, 0	101	0
K_saving_diuretic	categorical	no, yes	98, 3	97.03, 2.97	101	0
laxatives	categorical	no, yes	94, 7	93.07, 6.93	101	0
melatonine	categorical	no, yes	100, 1	99.01, 0.99	101	0
mesalazines	categorical	no, yes	94, 7	93.07, 6.93	101	0
metformin	categorical	no, yes	100, 1	99.01, 0.99	101	0
methylphenidate	categorical	no, yes	99, 2	98.02, 1.98	101	0
NSAID	categorical	no, yes	91, 10	90.1, 9.9	101	0
opiat	categorical	no, yes	100, 1	99.01, 0.99	101	0
oral_anti_diabetics	categorical	no, yes	100, 1	99.01, 0.99	101	0
oral_contraceptive	categorical	no, yes	87, 14	86.14, 13.86	101	0
oral_steroid	categorical	no, yes	82, 19	81.19, 18.81	101	0
other_antidepressant	categorical	no, yes	97, 4	96.04, 3.96	101	0
paracetamol	categorical	no, yes	88, 13	87.13, 12.87	101	0
parasympathicolytic_inhaler	categorical	no, yes	101, 0	100, 0	101	0
platelet_aggregation_inhibitor	categorical	no, yes	95, 6	94.06, 5.94	101	0
PPI	categorical	no, yes	69, 32	68.32, 31.68	101	0
SSRI_antidepressant	categorical	no, yes	100, 1	99.01, 0.99	101	0
statin	categorical	no, yes	97, 4	96.04, 3.96	101	0
steroid_inhaler	categorical	no, yes	96, 5	95.05, 4.95	101	0
steroid_nose_spray	categorical	no, yes	98, 3	97.03, 2.97	101	0
thiazide_diuretic	categorical	no, yes	99, 2	98.02, 1.98	101	0
thyrax	categorical	no, yes	98, 3	97.03, 2.97	101	0
tricyclic_antidepressant	categorical	no, yes	97, 4	96.04, 3.96	101	0
triptans	categorical	no, yes	98, 3	97.03, 2.97	101	0
vitamin_B12	categorical	no, yes	48, 53	47.52, 52.48	101	0
vitamin_D	categorical	no, yes	77, 24	76.24, 23.76	101	0
vitamin_K_antagonist	categorical	no, yes	101, 0	100, 0	101	0
Sequenced	categorical	no, yes	17, 84	16.83, 83.17	101	0
MissingSample	categorical	no, yes	101, 0	100, 0	101	0
IncludedSamplesMGS	categorical	no, yes	22, 79	21.78, 78.22	101	0
AppendixInSitu	categorical	no, yes	97, 4	96.04, 3.96	101	0
how_often_boiled_potatos	numerical	5	4.638297872	1.658157183	94	7
how_often_crisps_savory_crackers	numerical	4	3.284210526	1.492271993	95	6
how_often_fish	numerical	3	2.926315789	1.362429817	95	6
how_often_juice	numerical	4	3.979166667	2.238322524	96	5
how_often_meat	numerical	6	5.726315789	1.179993737	95	6
osteoporosis	numerical	0	0.01980198	0.140014144	101	0
how_often_baked_fried_potatoes	numerical	4	3.610526316	1.094422386	95	6
how_often_chocolate	numerical	3	3.410526316	1.83636283	95	6
how_often_eggs	numerical	4	3.88172043	1.487991514	93	8
how_often_icecream	numerical	2	2.010752688	1.237938536	93	8
how_often_pizza	numerical	2	1.884210526	0.909327059	95	6
how_often_soda.1	numerical	6	5.284210526	1.976797097	95	6
how_often_tea.1	numerical	7	5.389473684	2.232710102	95	6
EverHadStomaOrPouch	categorical	no, yes	82, 19	81.19, 18.81	101	0
CurrentStoma	categorical	no, yes	97, 4	96.04, 3.96	101	0
CurrentPouch	categorical	no, yes	101, 0	100, 0	101	0
CurrentStomaOrPouchType	categorical	colostoma, ileostoma, none, pouch	4, 0, 97, 0	3.96, 0, 96.04, 0	101	0
category	numerical	1	1	0	101	0
